,Name,Price in rs,Role,TeamName
29,Akshdeep Nath,"10,00,000",All-Rounder,Gujarat Lions
30,Sarabjit Ladda,"10,00,000",Bowler,Gujarat Lions
31,Umang Sharma,"10,00,000",Batsman,Gujarat Lions
32,Paras Dogra,"10,00,000",Batsman,Gujarat Lions
33,Mohit Sharma,"6,50,00,000",Bowler,Kings XI Punjab
34,Kyle Abbott,"2,10,00,000",Bowler,Kings XI Punjab
35,K.C. Cariappa,"80,00,000",Bowler,Kings XI Punjab
36,Marcus Stoinis,"55,00,000",All-Rounder,Kings XI Punjab
37,Farhaan Behardien,"30,00,000",All-Rounder,Kings XI Punjab
38,Pardeep Sahu,"10,00,000",All-Rounder,Kings XI Punjab
39,Armaan Jaffer,"10,00,000",Batsman,Kings XI Punjab
40,Swapnil Singh,"10,00,000",All-Rounder,Kings XI Punjab
41,Jaydev Unadkat,"1,60,00,000",Bowler,Kolkata Knight Riders
42,Ankit Singh Rajpoot,"1,50,00,000",Bowler,Kolkata Knight Riders
43,John Hastings,"1,30,00,000",Bowler,Kolkata Knight Riders
44,Jason Holder,"70,00,000",All-Rounder,Kolkata Knight Riders
45,Colin Munro,"30,00,000",All-Rounder,Kolkata Knight Riders
46,Rajagopal Sathish,"20,00,000",All-Rounder,Kolkata Knight Riders
47,Manan Ajay Sharma,"10,00,000",All-Rounder,Kolkata Knight Riders
48,Jos Buttler,"3,80,00,000",Wicket Keeper,Mumbai Indians
49,Nathu Singh,"3,20,00,000",Bowler,Mumbai Indians
50,Tim Southee,"2,50,00,000",Bowler,Mumbai Indians
51,Krunal Pandya,"2,00,00,000",All-Rounder,Mumbai Indians
52,Kishore Pramod Kamath,"1,40,00,000",All-Rounder,Mumbai Indians
53,Deepak Punia,"10,00,000",All-Rounder,Mumbai Indians
54,Jitesh Sharma,"10,00,000",Wicket Keeper,Mumbai Indians
55,Mitchell Marsh,"4,80,00,000",All-Rounder,Rising Pune Supergiant
56,M. Ashwin,"4,50,00,000",Bowler,Rising Pune Supergiant
57,Ishant Sharma,"3,80,00,000",Bowler,Rising Pune Supergiant
58,Kevin Pietersen,"3,50,00,000",Batsman,Rising Pune Supergiant
59,Irfan Pathan,"1,00,00,000",All-Rounder,Rising Pune Supergiant
60,Thisara Perera,"1,00,00,000",All-Rounder,Rising Pune Supergiant
61,Rajat Bhatia,"60,00,000",All-Rounder,Rising Pune Supergiant
62,Ashok Dinda,"50,00,000",Bowler,Rising Pune Supergiant
63,Scott Boland,"50,00,000",Bowler,Rising Pune Supergiant
64,Peter Handscomb,"30,00,000",Wicket Keeper,Rising Pune Supergiant
65,Rudra Pratap Singh,"30,00,000",Bowler,Rising Pune Supergiant
66,Adam Zampa,"30,00,000",Bowler,Rising Pune Supergiant
67,Ishwar Chandra Pandey,"20,00,000",Bowler,Rising Pune Supergiant
68,Deepak Chahar,"10,00,000",All-Rounder,Rising Pune Supergiant
69,Jaskaran Singh,"10,00,000",Bowler,Rising Pune Supergiant
70,Baba Aparajith,"10,00,000",All-Rounder,Rising Pune Supergiant
71,Ankush Bains,"10,00,000",Wicket Keeper,Rising Pune Supergiant
72,Ankit Sharma,"10,00,000",All-Rounder,Rising Pune Supergiant
73,Shane Watson,"9,50,00,000",All-Rounder, Royal Challengers Bengaluru
74,Stuart Binny,"2,00,00,000",All-Rounder, Royal Challengers Bengaluru
75,Kane Richardson,"2,00,00,000",Bowler, Royal Challengers Bengaluru
76,Samuel Badree,"50,00,000",Bowler, Royal Challengers Bengaluru
77,Travis Head,"50,00,000",Batsman, Royal Challengers Bengaluru
78,Praveen Dubey,"35,00,000",All-Rounder, Royal Challengers Bengaluru
79,Vikramjeet Malik,"20,00,000",Bowler, Royal Challengers Bengaluru
80,Akshay Karnewar,"10,00,000",All-Rounder, Royal Challengers Bengaluru
81,Iqbal Abdullah,"10,00,000",All-Rounder, Royal Challengers Bengaluru
82,Sachin Baby,"10,00,000",Batsman, Royal Challengers Bengaluru
83,Vikas Tokas,"10,00,000",Bowler, Royal Challengers Bengaluru
84,Yuvraj Singh,"7,00,00,000",All-Rounder, Sunrisers Hyderabad
85,Ashish Nehra,"5,50,00,000",Bowler, Sunrisers Hyderabad
86,Deepak Hooda,"4,20,00,000",All-Rounder, Sunrisers Hyderabad
87,Mustafizur Rahman,"1,40,00,000",Bowler, Sunrisers Hyderabad
88,Aditya Tare,"1,20,00,000",Wicket Keeper, Sunrisers Hyderabad
89,Barinder Singh Sran,"1,20,00,000",Bowler, Sunrisers Hyderabad
90,Ben Cutting,"50,00,000",All-Rounder, Sunrisers Hyderabad
91,Vijay Shankar,"35,00,000",All-Rounder, Sunrisers Hyderabad
92,Abhimanyu Mithun,"30,00,000",Bowler, Sunrisers Hyderabad
93,Tirumalasetti Suman,"10,00,000",Batsman, Sunrisers Hyderabad
