,Name,Price in rs,Role,TeamName
0,Pawan Negi,"8,50,00,000",All-Rounder,Delhi Daredevils
1,Christopher Morris,"7,00,00,000",All-Rounder,Delhi Daredevils
2,Sanju Samson,"4,20,00,000",Wicket Keeper,Delhi Daredevils
3,Carlos Brathwaite,"4,20,00,000",All-Rounder,Delhi Daredevils
4,Karun Nair,"4,00,00,000",Batsman,Delhi Daredevils
5,Rishabh Pant,"1,90,00,000",Wicket Keeper,Delhi Daredevils
6,Joel Paris,"30,00,000",Bowler,Delhi Daredevils
7,Sam Billings,"30,00,000",Wicket Keeper,Delhi Daredevils
8,Chama Milind,"10,00,000",Bowler,Delhi Daredevils
9,Pratyush Singh,"10,00,000",All-Rounder,Delhi Daredevils
10,Mahipal Lomror,"10,00,000",All-Rounder,Delhi Daredevils
11,Syed Khaleel Ahmed,"10,00,000",All-Rounder,Delhi Daredevils
12,Akhil Arvind Herwadkar,"10,00,000",All-Rounder,Delhi Daredevils
13,Pawan Suyal,"10,00,000",Bowler,Delhi Daredevils
14,Praveen Kumar,"3,50,00,000",Bowler,Gujarat Lions
15,Dale Steyn,"2,30,00,000",Bowler,Gujarat Lions
16,Dinesh Karthik,"2,30,00,000",Wicket Keeper,Gujarat Lions
17,Dwayne Smith,"2,30,00,000",All-Rounder,Gujarat Lions
18,Dhawal Kulkarni,"2,00,00,000",Bowler,Gujarat Lions
19,Aaron Finch,"1,00,00,000",Batsman,Gujarat Lions
20,Eklavya Dwivedi,"1,00,00,000",Wicket Keeper,Gujarat Lions
21,Andrew Tye,"50,00,000",All-Rounder,Gujarat Lions
22,Ishan Kishan,"35,00,000",Wicket Keeper,Gujarat Lions
23,Jaydev Shah,"20,00,000",All-Rounder,Gujarat Lions
24,Shadab Jakati,"20,00,000",All-Rounder,Gujarat Lions
25,Pravin Tambe,"20,00,000",Bowler,Gujarat Lions
26,Pradeep Sangwan,"20,00,000",All-Rounder,Gujarat Lions
27,Amit Mishra,"10,00,000",Bowler,Gujarat Lions
28,Shivil Kaushik,"10,00,000",Bowler,Gujarat Lions
