,Name,Price in rs,Role,TeamName
0,Krishnappa Gowtham,"9,25,00,000",All-Rounder, Chennai Super Kings
1,Moeen Ali,"7,00,00,000",All-Rounder, Chennai Super Kings
2,Cheteshwar Pujara,"50,00,000",Batsman, Chennai Super Kings
3,K.Bhagath Varma,"20,00,000",All-Rounder, Chennai Super Kings
4,C Hari Nishaanth,"20,00,000",Batsman, Chennai Super Kings
5,M. Harisankar Reddy,"20,00,000",Bowler, Chennai Super Kings
6,Tom Curran ,"5,25,00,000",All-Rounder , Delhi Capitals
7,Steven Smith ,"2,20,00,000",Batsman , Delhi Capitals
8,Sam Billings ,"2,00,00,000",Wicket Keeper , Delhi Capitals
9,Umesh Yadav ,"1,00,00,000",Bowler , Delhi Capitals
10,Ripal Patel ,"20,00,000",All-Rounder , Delhi Capitals
11,Vishnu Vinod ,"20,00,000",Wicket Keeper , Delhi Capitals
12,Lukman Hussain Meriwala ,"20,00,000",Bowler , Delhi Capitals
13,M Siddharth ,"20,00,000",Bowler , Delhi Capitals
14,Shakib Al Hasan ,"3,20,00,000",All-Rounder , Kolkata Knight Riders
15,Harbhajan Singh ,"2,00,00,000",Bowler , Kolkata Knight Riders
16,Ben Cutting ,"75,00,000",All-Rounder , Kolkata Knight Riders
17,Karun Nair ,"50,00,000",Batsman , Kolkata Knight Riders
18,Pawan Negi ,"50,00,000",All-Rounder , Kolkata Knight Riders
19,Venkatesh Iyer ,"20,00,000",All-Rounder , Kolkata Knight Riders
20,Sheldon Jackson ,"20,00,000",Wicket Keeper , Kolkata Knight Riders
21,Vaibhav Arora ,"20,00,000",Bowler , Kolkata Knight Riders
22,Nathan Coulter-Nile ,"5,00,00,000",Bowler , Mumbai Indians
23,Adam Milne ,"3,20,00,000",Bowler , Mumbai Indians
24,Piyush Chawla ,"2,40,00,000",Bowler , Mumbai Indians
25,James Neesham ,"50,00,000",All-Rounder , Mumbai Indians
26,Yudhvir Charak ,"20,00,000",All-Rounder , Mumbai Indians
27,Marco Jansen ,"20,00,000",All-Rounder , Mumbai Indians
28,Arjun Tendulkar ," 20,00,000",All-Rounder , Mumbai Indians
29,Jhye Richardson ,"14,00,00,000",Bowler , Punjab Kings
30,Riley Meredith ,"8,00,00,000",Bowler , Punjab Kings
31,Shahrukh Khan ,"5,25,00,000",All-Rounder , Punjab Kings
32,Moises Henriques ,"4,20,00,000",All-Rounder , Punjab Kings
33,Dawid Malan ,"1,50,00,000",All-Rounder , Punjab Kings
34,Fabian Allen ,"75,00,000", All-Rounder , Punjab Kings
35,Jalaj Saxena ,"30,00,000",All-Rounder , Punjab Kings
36,Saurabh Kumar ,"20,00,000",All-Rounder , Punjab Kings
37,Utkarsh Singh ,"20,00,000",All-Rounder , Punjab Kings
38,Christopher Morris ,"16,25,00,000",All-Rounder , Rajasthan Royals
39,Shivam Dube ,"4,40,00,000",All-Rounder , Rajasthan Royals
40,Chetan Sakariya ,"1,20,00,000",Bowler , Rajasthan Royals
41,Mustafizur Rahman ,"1,00,00,000",Bowler , Rajasthan Royals
42,Liam Livingstone ,"75,00,000",All-Rounder , Rajasthan Royals
43,K.C Cariappa ,"20,00,000",Bowler , Rajasthan Royals
44,Akash Singh ,"20,00,000",Bowler, Rajasthan Royals
45,Kuldip Yadav ," 20,00,000", Bowler , Rajasthan Royals
46,Kyle Jamieson ,"15,00,00,000",All-Rounder , Royal Challengers Bengaluru
47,Glenn Maxwell ,"14,25,00,000",All-Rounder , Royal Challengers Bengaluru
48,Dan Christian ,"4,80,00,000",All-Rounder , Royal Challengers Bengaluru
49,Sachin Baby ,"20,00,000",Batsman , Royal Challengers Bengaluru
50,Rajat Patidar ,"20,00,000",Batsman , Royal Challengers Bengaluru
51,Mohammed Azharudeen ,"20,00,000",Wicket Keeper , Royal Challengers Bengaluru
52,Suyash Prabhudesai ,"20,00,000",All-Rounder , Royal Challengers Bengaluru
53,Kona Srikar Bharat ," 20,00,000", Wicket Keeper, Royal Challengers Bengaluru
54,Kedar Jadhav ,"2,00,00,000",All-Rounder , Sunrisers Hyderabad
55,Mujeeb Zadran ,"1,50,00,000",Bowler , Sunrisers Hyderabad
56,J Suchith ,"30,00,000",Bowler , Sunrisers Hyderabad
