,Name,Price in rs,Role,TeamName
47,Aaron Finch,"6,20,00,000",Batsman,Kings XI Punjab
48,Marcus Stoinis,"6,20,00,000",All-Rounder,Kings XI Punjab
49,Karun Nair,"5,60,00,000",Batsman,Kings XI Punjab
50,Mujeeb Zadran,"4,00,00,000",Bowler,Kings XI Punjab
51,Ankit Singh Rajpoot,"3,00,00,000",Bowler,Kings XI Punjab
52,David Miller,"3,00,00,000",Batsman,Kings XI Punjab
53,Mohit Sharma,"2,40,00,000",Bowler,Kings XI Punjab
54,Barinder Singh Sran,"2,20,00,000",Bowler,Kings XI Punjab
55,Yuvraj Singh,"2,00,00,000",All-Rounder,Kings XI Punjab
56,Christopher Gayle,"2,00,00,000",Batsman,Kings XI Punjab
57,Ben Dwarshuis,"1,40,00,000",Bowler,Kings XI Punjab
58,Akshdeep Nath,"1,00,00,000",All-Rounder,Kings XI Punjab
59,Manoj Tiwary,"1,00,00,000",Batsman,Kings XI Punjab
60,Mayank Agarwal,"1,00,00,000",Batsman,Kings XI Punjab
61,Manzoor Dar,"20,00,000",All-Rounder,Kings XI Punjab
62,Pardeep Sahu,"20,00,000",Bowler,Kings XI Punjab
63,Mayank Dagar,"20,00,000",All-Rounder,Kings XI Punjab
64,Chris Lynn,"9,60,00,000",Batsman, Kolkata Knight Riders
65,Mitchell Starc,"9,40,00,000",Bowler, Kolkata Knight Riders
66,Dinesh Karthik,"7,40,00,000",Wicket Keeper, Kolkata Knight Riders
67,Robin Uthappa,"6,40,00,000",Wicket Keeper, Kolkata Knight Riders
68,Kuldeep Singh Yadav,"5,80,00,000",Bowler, Kolkata Knight Riders
69,Piyush Chawla,"4,20,00,000",Bowler, Kolkata Knight Riders
70,Nitish Rana,"3,40,00,000",All-Rounder, Kolkata Knight Riders
71,Kamlesh Nagarkoti,"3,20,00,000",All-Rounder, Kolkata Knight Riders
72,Shivam Mavi,"3,00,00,000",All-Rounder, Kolkata Knight Riders
73,Mitchell Johnson,"2,00,00,000",Bowler, Kolkata Knight Riders
74,Shubman Gill,"1,80,00,000",Batsman, Kolkata Knight Riders
75,Ranganath Vinay Kumar,"1,00,00,000",Bowler, Kolkata Knight Riders
76,Rinku Singh,"80,00,000",Batsman, Kolkata Knight Riders
77,Cameron Delport,"30,00,000",All-Rounder, Kolkata Knight Riders
78,Javon Searless,"30,00,000",All-Rounder, Kolkata Knight Riders
79,Apoorv Vijay Wankhade,"20,00,000",Batsman, Kolkata Knight Riders
80,Ishank Jaggi,"20,00,000",Batsman, Kolkata Knight Riders
81,Krunal Pandya,"8,80,00,000",All-Rounder, Mumbai Indians
82,Ishan Kishan,"6,20,00,000",Wicket Keeper, Mumbai Indians
83,Kieron Pollard,"5,40,00,000",All-Rounder, Mumbai Indians
84,Pat Cummins,"5,40,00,000",Bowler, Mumbai Indians
85,Evin Lewis,"3,80,00,000",Batsman, Mumbai Indians
86,Suryakumar Yadav,"3,20,00,000",Batsman, Mumbai Indians
87,Ben Cutting,"2,20,00,000",All-Rounder, Mumbai Indians
88,Mustafizur Rahman,"2,20,00,000",Bowler, Mumbai Indians
89,Rahul Chahar,"1,90,00,000",Bowler, Mumbai Indians
90,Pradeep Sangwan,"1,50,00,000",Bowler, Mumbai Indians
91,Jason Behrendorff,"1,50,00,000",Bowler, Mumbai Indians
92,Jean-Paul Duminy,"1,00,00,000",All-Rounder, Mumbai Indians
93,Saurabh Tiwary,"80,00,000",Batsman, Mumbai Indians
94,Tajinder Dhillon,"55,00,000",All-Rounder, Mumbai Indians
95,Akila Dhananjaya,"50,00,000",Bowler, Mumbai Indians
96,Nidheesh M D Dinesan,"20,00,000",Bowler, Mumbai Indians
97,Aditya Tare,"20,00,000",Wicket Keeper, Mumbai Indians
98,Siddhesh Dinesh Lad,"20,00,000",Batsman, Mumbai Indians
99,Mayank Markande,"20,00,000",Bowler, Mumbai Indians
100,Sharad Lumba ,"20,00,000",Batsman, Mumbai Indians
101,Anukul Roy,"20,00,000",All-Rounder, Mumbai Indians
102,Mohsin Khan,"20,00,000",Bowler, Mumbai Indians
103,Benjamin Stokes,"12,50,00,000",All-Rounder, Rajasthan Royals
104,Jaydev Unadkat,"11,50,00,000",Bowler, Rajasthan Royals
105,Sanju Samson,"8,00,00,000",Wicket Keeper, Rajasthan Royals
106,Jofra Archer,"7,20,00,000",All-Rounder, Rajasthan Royals
107,Krishnappa Gowtham,"6,20,00,000",Bowler, Rajasthan Royals
108,Jos Buttler,"4,40,00,000",Wicket Keeper, Rajasthan Royals
109,Ajinkya Rahane,"4,00,00,000",Batsman, Rajasthan Royals
110,Darcy Short,"4,00,00,000",All-Rounder, Rajasthan Royals
111,Rahul Tripathi,"3,40,00,000",Batsman, Rajasthan Royals
112,Dhawal Kulkarni,"75,00,000",Bowler, Rajasthan Royals
113,Zahir Khan Pakteen,"60,00,000",Bowler, Rajasthan Royals
114,Ben Laughlin,"50,00,000",Bowler, Rajasthan Royals
115,Stuart Binny,"50,00,000",All-Rounder, Rajasthan Royals
116,Dushmantha Chameera,"50,00,000",Bowler, Rajasthan Royals
117,Anureet Singh,"30,00,000",Bowler, Rajasthan Royals
118,Aryaman Vikram Birla,"30,00,000",All-Rounder, Rajasthan Royals
119,Midhun S,"20,00,000",All-Rounder, Rajasthan Royals
120,Shreyas Gopal,"20,00,000",All-Rounder, Rajasthan Royals
121,Prashant Chopra,"20,00,000",Wicket Keeper, Rajasthan Royals
122,Jatin Saxena,"20,00,000",All-Rounder, Rajasthan Royals
123,Ankit Sharma,"20,00,000",All-Rounder, Rajasthan Royals
124,Mahipal Lomror,"20,00,000",All-Rounder, Rajasthan Royals
125,Chris Woakes,"7,40,00,000",All-Rounder, Royal Challengers Bengaluru
126,Yuzvendra Singh Chahal,"6,00,00,000",Bowler, Royal Challengers Bengaluru
127,Umesh Yadav,"4,20,00,000",Bowler, Royal Challengers Bengaluru
128,Brendon McCullum,"3,60,00,000",Batsman, Royal Challengers Bengaluru
129,M.S. Washington Sundar,"3,20,00,000",All-Rounder, Royal Challengers Bengaluru
130,Navdeep Saini,"3,00,00,000",Bowler, Royal Challengers Bengaluru
131,Quinton De Kock,"2,80,00,000",Wicket Keeper, Royal Challengers Bengaluru
132,Mohammed Siraj,"2,60,00,000",Bowler, Royal Challengers Bengaluru
133,Nathan Coulter-Nile,"2,20,00,000",Bowler, Royal Challengers Bengaluru
134,Colin De Grandhomme,"2,20,00,000",All-Rounder, Royal Challengers Bengaluru
135,M. Ashwin,"2,20,00,000",Bowler, Royal Challengers Bengaluru
136,Parthiv Patel,"1,70,00,000",Wicket Keeper, Royal Challengers Bengaluru
137,Moeen Ali,"1,70,00,000",All-Rounder, Royal Challengers Bengaluru
138,Mandeep Singh,"1,40,00,000",All-Rounder, Royal Challengers Bengaluru
139,Manan Vohra,"1,10,00,000",Batsman, Royal Challengers Bengaluru
140,Pawan Negi,"1,00,00,000",All-Rounder, Royal Challengers Bengaluru
141,Tim Southee,"1,00,00,000",Bowler, Royal Challengers Bengaluru
142,Kulwant Khejroliya,"85,00,000",Bowler, Royal Challengers Bengaluru
143,Aniket Choudhary,"30,00,000",Bowler, Royal Challengers Bengaluru
144,Pavan Deshpande,"20,00,000",All-Rounder, Royal Challengers Bengaluru
145,Anirudha Ashok Joshi,"20,00,000",All-Rounder, Royal Challengers Bengaluru
146,Manish Pandey,"11,00,00,000",Batsman, Sunrisers Hyderabad
147,Rashid Khan Arman,"9,00,00,000",Bowler, Sunrisers Hyderabad
148,Shikhar Dhawan,"5,20,00,000",Batsman, Sunrisers Hyderabad
149,Wriddhiman Saha,"5,00,00,000",Wicket Keeper, Sunrisers Hyderabad
150,Siddarth Kaul,"3,80,00,000",Bowler, Sunrisers Hyderabad
151,Deepak Hooda,"3,60,00,000",All-Rounder, Sunrisers Hyderabad
152,Syed Khaleel Ahmed,"3,00,00,000",Bowler, Sunrisers Hyderabad
153,Sandeep Sharma,"3,00,00,000",Bowler, Sunrisers Hyderabad
154,Kane Williamson,"3,00,00,000",Batsman, Sunrisers Hyderabad
155,Carlos Brathwaite,"2,00,00,000",All-Rounder, Sunrisers Hyderabad
156,Shakib Al Hasan,"2,00,00,000",All-Rounder, Sunrisers Hyderabad
157,Yusuf Pathan,"1,90,00,000",All-Rounder, Sunrisers Hyderabad
158,Shreevats Goswami,"1,00,00,000",Wicket Keeper, Sunrisers Hyderabad
159,Mohammad Nabi,"1,00,00,000",All-Rounder, Sunrisers Hyderabad
160,Chris Jordan,"1,00,00,000",All-Rounder, Sunrisers Hyderabad
161,Basil Thampi,"95,00,000",Bowler, Sunrisers Hyderabad
162,Billy Stanlake,"50,00,000",Batsman, Sunrisers Hyderabad
163,T Natarajan,"40,00,000",Bowler, Sunrisers Hyderabad
164,Sachin Baby,"20,00,000",Batsman, Sunrisers Hyderabad
165,Bipul Sharma,"20,00,000",All-Rounder, Sunrisers Hyderabad
166,Syed Mehdi Hasan,"20,00,000",All-Rounder, Sunrisers Hyderabad
167,Ricky Bhui,"20,00,000",Batsman, Sunrisers Hyderabad
168,Tanmay Agarwal,"20,00,000",Batsman, Sunrisers Hyderabad
