,Name,Price in rs,Role,TeamName
0,Kedar Jadhav,"7,80,00,000",All-Rounder, Chennai Super Kings
1,Dwayne Bravo,"6,40,00,000",All-Rounder, Chennai Super Kings
2,Karn Sharma,"5,00,00,000",Bowler, Chennai Super Kings
3,Shane Watson,"4,00,00,000",All-Rounder, Chennai Super Kings
4,Shardul Narendra Thakur,"2,60,00,000",Bowler, Chennai Super Kings
5,Ambati Rayudu,"2,20,00,000",Wicket Keeper, Chennai Super Kings
6,Murali Vijay,"2,00,00,000",Batsman, Chennai Super Kings
7,Harbhajan Singh,"2,00,00,000",Bowler, Chennai Super Kings
8,Faf Du Plessis,"1,60,00,000",Batsman, Chennai Super Kings
9,Mark Wood,"1,50,00,000",Bowler, Chennai Super Kings
10,Sam Billings,"1,00,00,000",Wicket Keeper, Chennai Super Kings
11,Imran Tahir,"1,00,00,000",Bowler, Chennai Super Kings
12,Deepak Chahar,"80,00,000",All-Rounder, Chennai Super Kings
13,Mitchell Santner,"50,00,000",All-Rounder, Chennai Super Kings
14,Lungisani Ngidi,"50,00,000",Bowler, Chennai Super Kings
15,Asif K M,"40,00,000",Bowler, Chennai Super Kings
16,N Jagadeesan,"20,00,000",Wicket Keeper, Chennai Super Kings
17,Kanishk Seth,"20,00,000",All-Rounder, Chennai Super Kings
18,Monu Singh,"20,00,000",Bowler, Chennai Super Kings
19,Dhruv Shorey,"20,00,000",All-Rounder, Chennai Super Kings
20,Kshitiz Sharma,"20,00,000",All-Rounder, Chennai Super Kings
21,Chaitanya Bishnoi,"20,00,000",All-Rounder, Chennai Super Kings
22,Glenn Maxwell,"9,00,00,000",All-Rounder,Delhi Daredevils
23,Kagiso Rabada,"4,20,00,000",Bowler,Delhi Daredevils
24,Amit Mishra,"4,00,00,000",Bowler,Delhi Daredevils
25,Shahbaz Nadeem,"3,20,00,000",Bowler,Delhi Daredevils
26,Vijay Shankar,"3,20,00,000",All-Rounder,Delhi Daredevils
27,Rahul Tewatia,"3,00,00,000",All-Rounder,Delhi Daredevils
28,Mohammad Shami,"3,00,00,000",Bowler,Delhi Daredevils
29,Gautam Gambhir,"2,80,00,000",Batsman,Delhi Daredevils
30,Trent Boult,"2,20,00,000",Bowler,Delhi Daredevils
31,Colin Munro,"1,90,00,000",All-Rounder,Delhi Daredevils
32,Daniel Christian,"1,50,00,000",All-Rounder,Delhi Daredevils
33,Jason Roy,"1,50,00,000",Batsman,Delhi Daredevils
34,Naman Ojha,"1,40,00,000",Wicket Keeper,Delhi Daredevils
35,Prithvi Shaw,"1,20,00,000",Batsman,Delhi Daredevils
36,Gurkeerat Singh Mann,"75,00,000",All-Rounder,Delhi Daredevils
37,Avesh Khan,"70,00,000",Bowler,Delhi Daredevils
38,Abhishek Sharma,"55,00,000",All-Rounder,Delhi Daredevils
39,Jayant Yadav,"50,00,000",All-Rounder,Delhi Daredevils
40,Harshal Patel,"20,00,000",All-Rounder,Delhi Daredevils
41,Manjot Kalra,"20,00,000",Batsman,Delhi Daredevils
42,Sandeep Lamichhane,"20,00,000",Bowler,Delhi Daredevils
43,Sayan Ghosh,"20,00,000",Bowler,Delhi Daredevils
44,KL Rahul,"11,00,00,000",Batsman,Kings XI Punjab
45,Ravichandran Ashwin,"7,60,00,000",All-Rounder,Kings XI Punjab
46,Andrew Tye,"7,20,00,000",Bowler,Kings XI Punjab
