,Name,Price in rs,Role,TeamName
0,Michael Hussey,"1,50,00,000",Batsman,Chennai Super Kings
1,Irfan Pathan,"1,50,00,000",All-Rounder,Chennai Super Kings
2,Rahul Sharma,"30,00,000",Bowler,Chennai Super Kings
3,Kyle Abbott,"30,00,000",Bowler,Chennai Super Kings
4,Andrew Tye,"20,00,000",Bowler,Chennai Super Kings
5,Pratyush Singh,"10,00,000",All-Rounder,Chennai Super Kings
6,Ankush Bains,"10,00,000",Wicket Keeper,Chennai Super Kings
7,Eklavya Dwivedi,"10,00,000",Wicket Keeper,Chennai Super Kings
8,Yuvraj Singh,"16,00,00,000",Batsman,Delhi Daredevils
9,Angelo Mathews,"7,50,00,000",All-Rounder,Delhi Daredevils
10,Zaheer Khan,"4,00,00,000",Bowler,Delhi Daredevils
11,Amit Mishra,"3,50,00,000",Bowler,Delhi Daredevils
12,Shreyas Iyer,"2,60,00,000",Batsman,Delhi Daredevils
13,Gurinder Sandhu,"1,70,00,000",Bowler,Delhi Daredevils
14,Jaydev Unadkat,"1,10,00,000",Bowler,Delhi Daredevils
15,Domnic Joseph Muthuswamy,"75,00,000",Bowler,Delhi Daredevils
16,Albie Morkel,"30,00,000",All-Rounder,Delhi Daredevils
17,Travis Head,"30,00,000",Batsman,Delhi Daredevils
18,Marcus Stoinis,"25,00,000",All-Rounder,Delhi Daredevils
19,C.M. Gautam,"20,00,000",Wicket Keeper,Delhi Daredevils
20,Kona Srikar Bharat,"10,00,000",Wicket Keeper,Delhi Daredevils
21,K.K. Jiyaz,"10,00,000",Bowler,Delhi Daredevils
22,Murali Vijay,"3,00,00,000",Batsman,Kings XI Punjab
23,Nikhil Shankar Naik,"30,00,000",Wicket Keeper,Kings XI Punjab
24,Yogesh Gowalkar,"10,00,000",All-Rounder,Kings XI Punjab
25,K.C. Cariappa,"2,40,00,000",Bowler,Kolkata Knight Riders
26,James Neesham,"50,00,000",All-Rounder,Kolkata Knight Riders
27,Brad Hogg,"50,00,000",Bowler,Kolkata Knight Riders
28,Aditya Garhwal,"25,00,000",All-Rounder,Kolkata Knight Riders
29,Sheldon Jackson,"15,00,000",Batsman,Kolkata Knight Riders
30,Sumit Narwal,"10,00,000",All-Rounder,Kolkata Knight Riders
31,Vaibhav Rawal,"10,00,000",All-Rounder,Kolkata Knight Riders
32,Aaron Finch,"3,20,00,000",Batsman,Mumbai Indians
33,Pragyan Ojha,"50,00,000",Bowler,Mumbai Indians
34,Abhimanyu Mithun,"30,00,000",Bowler,Mumbai Indians
35,Mitchell McClenaghan,"30,00,000",Bowler,Mumbai Indians
36,Aiden Blizzard,"30,00,000",Batsman,Mumbai Indians
37,Hardik Pandya,"10,00,000",All-Rounder,Mumbai Indians
38,Akshay Wakhare,"10,00,000",Bowler,Mumbai Indians
39,Nitish Rana,"10,00,000",All-Rounder,Mumbai Indians
40,Siddhesh Dinesh Lad,"10,00,000",All-Rounder,Mumbai Indians
41,J. Suchitch,"10,00,000",All-Rounder,Mumbai Indians
42,Christopher Morris,"1,40,00,000",All-Rounder,Rajasthan Royals
43,Juan Theron,"30,00,000",Bowler,Rajasthan Royals
44,Barinder Singh Saran,"10,00,000",Bowler,Rajasthan Royals
45,Dinesh Salunkhe,"10,00,000",All-Rounder,Rajasthan Royals
46,Sagar Trivedi,"10,00,000",All-Rounder,Rajasthan Royals
47,Pardeep Sahu,"10,00,000",All-Rounder,Rajasthan Royals
48,Dinesh Karthik,"10,50,00,000",Wicket Keeper, Royal Challengers Bengaluru
49,Darren Sammy,"2,80,00,000",All-Rounder, Royal Challengers Bengaluru
50,David Wiese,"2,80,00,000",All-Rounder, Royal Challengers Bengaluru
51,Sean Abbott,"1,00,00,000",Bowler, Royal Challengers Bengaluru
52,Adam Milne,"70,00,000",Bowler, Royal Challengers Bengaluru
53,Sarfaraz Naushad Khan,"50,00,000",Batsman, Royal Challengers Bengaluru
54,Subramaniam Badrinath,"30,00,000",Batsman, Royal Challengers Bengaluru
55,Jalaj Saxena,"10,00,000",All-Rounder, Royal Challengers Bengaluru
56,Shishir Bhavane,"10,00,000",Batsman, Royal Challengers Bengaluru
57,Trent Boult,"3,80,00,000",Bowler, Sunrisers Hyderabad
58,Praveen Kumar,"2,20,00,000",Bowler, Sunrisers Hyderabad
59,Kevin Pietersen,"2,00,00,000",Batsman, Sunrisers Hyderabad
60,Eoin Morgan,"1,50,00,000",Batsman, Sunrisers Hyderabad
61,Ravi Bopara,"1,00,00,000",All-Rounder, Sunrisers Hyderabad
62,Kane Williamson,"60,00,000",All-Rounder, Sunrisers Hyderabad
63,Laxmi Ratan Shukla,"30,00,000",All-Rounder, Sunrisers Hyderabad
64,Prasanth Padmanabhan,"10,00,000",All-Rounder, Sunrisers Hyderabad
65,Hanuma Vihari,"10,00,000",Batsman, Sunrisers Hyderabad
66,Siddarth Kaul,"10,00,000",Bowler, Sunrisers Hyderabad
