,Name,Price in rs,Role,TeamName
0,Kagiso Rabada,"5,00,00,000",Bowler,Delhi Daredevils
1,Patrick Cummins,"4,50,00,000",Bowler,Delhi Daredevils
2,Angelo Mathews,"2,00,00,000",All-Rounder,Delhi Daredevils
3,Corey Anderson,"1,00,00,000",All-Rounder,Delhi Daredevils
4,M. Ashwin,"1,00,00,000",Bowler,Delhi Daredevils
5,Aditya Tare,"25,00,000",Wicket Keeper,Delhi Daredevils
6,Ankeet Bawane,"10,00,000",Batsman,Delhi Daredevils
7,Navdeep Saini,"10,00,000",Bowler,Delhi Daredevils
8,Shashank Singh,"10,00,000",All-Rounder,Delhi Daredevils
9,Jason Roy,"1,00,00,000",Batsman,Gujarat Lions
10,Basil Thampi,"85,00,000",Bowler,Gujarat Lions
11,Manpreet Gony,"60,00,000",Bowler,Gujarat Lions
12,Nathu Singh,"50,00,000",Bowler,Gujarat Lions
13,Munaf Patel,"30,00,000",Bowler,Gujarat Lions
14,Akshdeep Nath,"10,00,000",All-Rounder,Gujarat Lions
15,Shubam Agrawal,"10,00,000",All-Rounder,Gujarat Lions
16,Tejas Singh Baroka,"10,00,000",Bowler,Gujarat Lions
17,Chirag Suri,"10,00,000",Batsman,Gujarat Lions
18,Pratham Singh,"10,00,000",All-Rounder,Gujarat Lions
19,Shelley Shaurya,"10,00,000",Bowler,Gujarat Lions
20,T Natarajan,"3,00,00,000",Bowler,Kings XI Punjab
21,Varun Aaron,"2,80,00,000",Bowler,Kings XI Punjab
22,Eoin Morgan,"2,00,00,000",Batsman,Kings XI Punjab
23,Matt Henry,"50,00,000",Bowler,Kings XI Punjab
24,Martin Guptill,"50,00,000",Batsman,Kings XI Punjab
25,Darren Sammy,"30,00,000",All-Rounder,Kings XI Punjab
26,Rahul Tewatia,"25,00,000",All-Rounder,Kings XI Punjab
27,Rinku Singh,"10,00,000",Batsman,Kings XI Punjab
28,Trent Boult,"5,00,00,000",Bowler,Kolkata Knight Riders
29,Chris Woakes,"4,20,00,000",All-Rounder,Kolkata Knight Riders
30,Nathan Coulter-Nile,"3,50,00,000",Bowler,Kolkata Knight Riders
31,Rishi Dhawan,"55,00,000",All-Rounder,Kolkata Knight Riders
32,Darren Bravo,"50,00,000",Batsman,Kolkata Knight Riders
33,Rovman Powell,"30,00,000",All-Rounder,Kolkata Knight Riders
34,Sayan Ghosh,"10,00,000",Bowler,Kolkata Knight Riders
35,R. Sanjay Yadav,"10,00,000",All-Rounder,Kolkata Knight Riders
36,Ishank Jaggi,"10,00,000",Batsman,Kolkata Knight Riders
37,Karn Sharma,"3,20,00,000",All-Rounder,Mumbai Indians
38,Krishnappa Gowtham,"2,00,00,000",All-Rounder,Mumbai Indians
39,Mitchell Johnson,"2,00,00,000",Bowler,Mumbai Indians
40,Asela Gunarathna,"30,00,000",Batsman,Mumbai Indians
41,Saurabh Tiwary,"30,00,000",Batsman,Mumbai Indians
42,Nicolas Pooran,"30,00,000",Wicket Keeper,Mumbai Indians
43,Kulwant Khejroliya,"10,00,000",Bowler,Mumbai Indians
44,Benjamin Stokes,"14,50,00,000",All-Rounder,Rising Pune Supergiant
45,Daniel Christian,"1,00,00,000",All-Rounder,Rising Pune Supergiant
46,Manoj Tiwary,"50,00,000",Batsman,Rising Pune Supergiant
47,Lockie Ferguson ,"50,00,000",Bowler,Rising Pune Supergiant
48,Jaydev Unadkat,"30,00,000",Bowler,Rising Pune Supergiant
49,Rahul Chahar,"10,00,000",Bowler,Rising Pune Supergiant
50,Saurabh Kumar,"10,00,000",Bowler,Rising Pune Supergiant
51,Milind Tandon,"10,00,000",All-Rounder,Rising Pune Supergiant
52,Rahul Ajay Tripathi,"10,00,000",All-Rounder,Rising Pune Supergiant
53,Tymal Mills,"12,00,00,000",Bowler, Royal Challengers Bengaluru
54,Aniket Choudhary,"2,00,00,000",Bowler, Royal Challengers Bengaluru
55,Pawan Negi,"1,00,00,000",All-Rounder, Royal Challengers Bengaluru
56,Billy Stanlake,"30,00,000",Bowler, Royal Challengers Bengaluru
57,Praveen Dubey,"10,00,000",All-Rounder, Royal Challengers Bengaluru
58,Rashid Khan Arman,"4,00,00,000",Bowler, Sunrisers Hyderabad
59,Mohammed Siraj,"2,60,00,000",Bowler, Sunrisers Hyderabad
60,Eklavya Dwivedi,"75,00,000",Wicket Keeper, Sunrisers Hyderabad
61,Chris Jordan,"50,00,000",All-Rounder, Sunrisers Hyderabad
62,Mohammad Nabi,"30,00,000",All-Rounder, Sunrisers Hyderabad
63,Ben Laughlin,"30,00,000",Bowler, Sunrisers Hyderabad
64,Pravin Tambe,"10,00,000",Bowler, Sunrisers Hyderabad
65,Tanmay Agarwal,"10,00,000",Batsman, Sunrisers Hyderabad
