,Name,Price in rs,Role,TeamName
0,Piyush Chawla,"6,75,00,000",Bowler, Chennai Super Kings
1,Sam Curran,"5,50,00,000",All-Rounder, Chennai Super Kings
2,Josh Hazlewood,"2,00,00,000",Bowler, Chennai Super Kings
3,R. Sai Kishore,"20,00,000",Bowler, Chennai Super Kings
4,Shimron Hetmyer,"7,75,00,000",Batsman, Delhi Capitals
5,Marcus Stoinis,"4,80,00,000",All-Rounder, Delhi Capitals
6,Alex Carey,"2,40,00,000",Wicket Keeper, Delhi Capitals
7,Jason Roy,"1,50,00,000",Batsman, Delhi Capitals
8,Chris Woakes,"1,50,00,000",All-Rounder, Delhi Capitals
9,Mohit Sharma,"50,00,000",Bowler, Delhi Capitals
10,Tushar Deshpande,"20,00,000",Bowler, Delhi Capitals
11,Lalit Yadav,"20,00,000",All-Rounder, Delhi Capitals
12,Glenn Maxwell,"10,75,00,000",All-Rounder, Kings XI Punjab
13,Sheldon Cottrell,"8,50,00,000",Bowler, Kings XI Punjab
14,Chris Jordan,"3,00,00,000",All-Rounder, Kings XI Punjab
15,Ravi Bishnoi,"2,00,00,000",Bowler, Kings XI Punjab
16,Prabhsimran Singh,"55,00,000",Wicket Keeper, Kings XI Punjab
17,Deepak Hooda,"50,00,000",All-Rounder, Kings XI Punjab
18,James Neesham,"50,00,000",All-Rounder, Kings XI Punjab
19,Tajinder Dhillon,"20,00,000",All-Rounder, Kings XI Punjab
20,Ishan Porel,"20,00,000",Bowler, Kings XI Punjab
21,Pat Cummins,"15,50,00,000",All-Rounder, Kolkata Knight Riders
22,Eoin Morgan,"5,25,00,000",Batsman, Kolkata Knight Riders
23,Varun Chakaravarthy,"4,00,00,000",All-Rounder, Kolkata Knight Riders
24,Tom Banton,"1,00,00,000",Batsman, Kolkata Knight Riders
25,Rahul Tripathi,"60,00,000",Batsman, Kolkata Knight Riders
26,Chris Green,"20,00,000",All-Rounder, Kolkata Knight Riders
27,Nikhil Shankar Naik,"20,00,000",Wicket Keeper, Kolkata Knight Riders
28,Pravin Tambe,"20,00,000",Bowler, Kolkata Knight Riders
29,M Siddharth,"20,00,000",Bowler, Kolkata Knight Riders
30,Nathan Coulter-Nile,"8,00,00,000",Bowler, Mumbai Indians
31,Chris Lynn,"2,00,00,000",Batsman, Mumbai Indians
32,Saurabh Tiwary,"50,00,000",Batsman, Mumbai Indians
33,Digvijay Deshmukh,"20,00,000",All-Rounder, Mumbai Indians
34,Prince Balwant Rai Singh,"20,00,000",All-Rounder, Mumbai Indians
35,Mohsin Khan,"20,00,000",Bowler, Mumbai Indians
36,Robin Uthappa,"3,00,00,000",Batsman, Rajasthan Royals
37,Jaydev Unadkat,"3,00,00,000",Bowler, Rajasthan Royals
38,Yashasvi Jaiswal,"2,40,00,000",All-Rounder, Rajasthan Royals
39,Kartik Tyagi,"1,30,00,000",Bowler, Rajasthan Royals
40,Tom Curran,"1,00,00,000",All-Rounder, Rajasthan Royals
41,Andrew Tye,"1,00,00,000",Bowler, Rajasthan Royals
42,Anuj Rawat,"80,00,000",Wicket Keeper, Rajasthan Royals
43,David Miller,"75,00,000",Batsman, Rajasthan Royals
44,Oshane Thomas ,"50,00,000",Bowler, Rajasthan Royals
45,Anirudha Ashok Joshi,"20,00,000",All-Rounder, Rajasthan Royals
46,Akash Singh,"20,00,000",Bowler, Rajasthan Royals
47,Christopher Morris,"10,00,00,000",All-Rounder, Royal Challengers Bengaluru
48,Aaron Finch,"4,40,00,000",Batsman, Royal Challengers Bengaluru
49,Kane Richardson,"4,00,00,000",Bowler, Royal Challengers Bengaluru
50,Dale Steyn,"2,00,00,000",Bowler, Royal Challengers Bengaluru
51,Isuru Udana,"50,00,000",All-Rounder, Royal Challengers Bengaluru
52,Shahbaz Ahamad,"20,00,000",Wicket Keeper, Royal Challengers Bengaluru
53,Joshua Philippe,"20,00,000",Wicket Keeper, Royal Challengers Bengaluru
54,Pavan Deshpande,"20,00,000",All-Rounder, Royal Challengers Bengaluru
55,Mitchell Marsh,"2,00,00,000",All-Rounder, Sunrisers Hyderabad
56,Priyam Garg,"1,90,00,000",Batsman, Sunrisers Hyderabad
57,Virat Singh,"1,90,00,000",Batsman, Sunrisers Hyderabad
58,Fabian Allen,"50,00,000",All-Rounder, Sunrisers Hyderabad
59,Sandeep Bavanaka,"20,00,000",All-Rounder, Sunrisers Hyderabad
60,Sanjay Yadav,"20,00,000",All-Rounder, Sunrisers Hyderabad
61,Abdul Samad,"20,00,000",All-Rounder, Sunrisers Hyderabad
