,Name,Nationality,Price in rs,Role,TeamName
28,Nicholas Pooran ,Overseas ,"16,00,00,000 ",Wicket-Keeper , Lucknow Super Giants
29,Romario Shepherd ,Overseas ,"50,00,000 ",All-Rounder , Lucknow Super Giants
30,Daniel Sams ,Overseas ,"75,00,000 ",All-Rounder , Lucknow Super Giants
31,Swapnil Singh ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants
32,Yudhvir Charak ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants
33,Prerak Mankad ,Indian ,"20,00,000 ",All-Rounder , Lucknow Super Giants
34,Yash Thakur ,Indian ,"45,00,000 ",Bowler , Lucknow Super Giants
35,Naveen Ul Haq ,Overseas ,"50,00,000 ",Bowler , Lucknow Super Giants
36,Jaydev Unadkat ,Indian ,"50,00,000 ",Bowler , Lucknow Super Giants
37,Jhye Richardson ,Overseas ,"1,50,00,000 ",Bowler , Mumbai Indians
38,Nehal Wadhera ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians
39,Raghav Goyal ,Indian ,"20,00,000 ",Bowler , Mumbai Indians
40,Cameron Green ,Overseas ,"17,50,00,000 ",All-Rounder , Mumbai Indians
41,Vishnu Vinod ,Indian ,"20,00,000 ",Wicket-Keeper , Mumbai Indians
42,Duan Jansen ,Overseas ,"20,00,000 ",All-Rounder , Mumbai Indians
43,Piyush Chawla ,Indian ,"50,00,000 ",Bowler , Mumbai Indians
44,Shams Mulani ,Indian ,"20,00,000 ",All-Rounder , Mumbai Indians
45,Harpreet Bhatia ,Indian ,"40,00,000 ",Batter , Punjab Kings
46,Shivam Singh ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings
47,Vidwath Kaverappa ,Indian ,"20,00,000 ",Bowler , Punjab Kings
48,Mohit Rathee ,Indian ,"20,00,000 ",All-Rounder , Punjab Kings
49,Sam Curran ,Overseas ,"18,50,00,000 ",All-Rounder , Punjab Kings
50,Sikandar Raza ,Overseas ,"50,00,000 ",All-Rounder , Punjab Kings
51,Jason Holder ,Overseas ,"5,75,00,000 ",All-Rounder , Rajasthan Royals
52,Adam Zampa ,Overseas ,"1,50,00,000 ",Bowler , Rajasthan Royals
53,Abdul P A ,Indian ,"20,00,000 ",All-Rounder , Rajasthan Royals
54,Akash Vashisht ,Indian ,"20,00,000 ",All-Rounder , Rajasthan Royals
55,Donovan Ferreira ,Overseas ,"50,00,000 ",Wicket-Keeper , Rajasthan Royals
56,Kunal Rathore ,Indian ,"20,00,000 ",Wicket-Keeper , Rajasthan Royals
57,Joe Root ,Overseas ,"1,00,00,000 ",Batter , Rajasthan Royals
58,Murugan Ashwin ,Indian ,"20,00,000 ",Bowler , Rajasthan Royals
59,K.M. Asif ,Indian ,"30,00,000 ",Bowler , Rajasthan Royals
60,Sonu Yadav ,Indian ,"20,00,000 ",All-Rounder , Royal Challengers Bangalore
61,Himanshu Sharma ,Indian ,"20,00,000 ",Bowler , Royal Challengers Bangalore
62,Avinash Singh ,Indian ,"60,00,000 ",Bowler , Royal Challengers Bangalore
63,Manoj Bhandage ,Indian ,"20,00,000 ",All-Rounder , Royal Challengers Bangalore
64,Will Jacks ,Overseas ,"3,20,00,000 ",Batter , Royal Challengers Bangalore
65,Reece Topley ,Overseas ,"1,90,00,000 ",Bowler , Royal Challengers Bangalore
66,Rajan Kumar ,Indian ,"70,00,000 ",Bowler , Royal Challengers Bangalore
67,Sanvir Singh ,Indian ,"20,00,000 ",All-Rounder , Sunrisers Hyderabad
68,Harry Brook ,Overseas ,"13,25,00,000 ",Batter , Sunrisers Hyderabad
69,Heinrich Klaasen ,Overseas ,"5,25,00,000 ",Wicket-Keeper , Sunrisers Hyderabad
70,Akeal Hosein ,Overseas ,"1,00,00,000 ",Bowler , Sunrisers Hyderabad
71,Mayank Markande ,Indian ,"50,00,000 ",Bowler , Sunrisers Hyderabad
72,Adil Rashid ,Overseas ,"2,00,00,000 ",Bowler , Sunrisers Hyderabad
73,Anmolpreet Singh ,Indian ,"20,00,000 ",Batter , Sunrisers Hyderabad
74,Vivrant Sharma ,Indian ,"2,60,00,000 ",All-Rounder , Sunrisers Hyderabad
75,Samarth Vyas ,Indian ,"20,00,000 ",All-Rounder , Sunrisers Hyderabad
76,Upendra Singh Yadav ,Indian ,"25,00,000 ",Wicket-Keeper , Sunrisers Hyderabad
77,Nitish Kumar Reddy ,Indian ,"20,00,000 ",Wicket-Keeper , Sunrisers Hyderabad
78,Mayank Agarwal ,Indian ,"8,25,00,000 ",Batter , Sunrisers Hyderabad
79,Mayank Dagar ,Indian ,"1,80,00,000 ",All-Rounder , Sunrisers Hyderabad
