,Name,Nationality,Price in rs,Role,TeamName
0,Ajinkya Rahane ,Indian ,"50,00,000 ",Batter , Chennai Super Kings
1,Bhagath Varma ,Indian ,"20,00,000 ",All-Rounder , Chennai Super Kings
2,Kyle Jamieson ,Overseas ,"1,00,00,000 ",Bowler , Chennai Super Kings
3,Ajay Mandal ,Indian ,"20,00,000 ",All-Rounder , Chennai Super Kings
4,Nishant Sindhu ,Indian ,"60,00,000 ",All-Rounder , Chennai Super Kings
5,Shaik Rasheed ,Indian ,"20,00,000 ",Batter , Chennai Super Kings
6,Ben Stokes ,Overseas ,"16,25,00,000 ",All-Rounder , Chennai Super Kings
7,Phil Salt ,Overseas ,"2,00,00,000 ",Wicket-Keeper , Delhi Capitals
8,Ishant Sharma ,Indian ,"50,00,000 ",Bowler , Delhi Capitals
9,Rilee Rossouw ,Overseas ,"4,60,00,000 ",Batter , Delhi Capitals
10,Manish Pandey ,Indian ,"2,40,00,000 ",Batter , Delhi Capitals
11,Mukesh Kumar ,Indian ,"5,50,00,000 ",Bowler , Delhi Capitals
12,Shivam Mavi ,Indian ,"6,00,00,000 ",Bowler , Gujarat Titans
13,K.S. Bharat ,Indian ,"1,20,00,000 ",Wicket-Keeper , Gujarat Titans
14,Urvil Patel ,Indian ,"20,00,000 ",Wicket-Keeper , Gujarat Titans
15,Mohit Sharma ,Indian ,"50,00,000 ",Bowler , Gujarat Titans
16,Joshua Little ,Overseas ,"4,40,00,000 ",Bowler , Gujarat Titans
17,Kane Williamson ,Overseas ,"2,00,00,000 ",Batter , Gujarat Titans
18,Odean Smith ,Overseas ,"50,00,000 ",All-Rounder , Gujarat Titans
19,Kulwant Khejroliya ,Indian ,"20,00,000 ",Bowler , Kolkata Knight Riders
20,Shakib Al Hasan ,Overseas ,"1,50,00,000 ",All-Rounder , Kolkata Knight Riders
21,Vaibhav Arora ,Indian ,"60,00,000 ",Bowler , Kolkata Knight Riders
22,N. Jagadeesan ,Indian ,"90,00,000 ",Wicket-Keeper , Kolkata Knight Riders
23,David Wiese ,Overseas ,"1,00,00,000 ",All-Rounder , Kolkata Knight Riders
24,Mandeep Singh ,Indian ,"50,00,000 ",Batter , Kolkata Knight Riders
25,Litton Das ,Overseas ,"50,00,000 ",Wicket-Keeper , Kolkata Knight Riders
26,Suyash Sharma ,Indian ,"20,00,000 ",Bowler , Kolkata Knight Riders
27,Amit Mishra ,Indian ,"50,00,000 ",Bowler , Lucknow Super Giants
