,Name,Price in rs,Role,TeamName
0,Faf Du Plessis,"4,75,00,000",Batsman,Chennai Super Kings
1,Dwayne Smith,"4,50,00,000",Batsman,Chennai Super Kings
2,Brendon McCullum,"3,25,00,000",Wicket Keeper,Chennai Super Kings
3,Ashish Nehra,"2,00,00,000",Bowler,Chennai Super Kings
4,Mohit Sharma,"2,00,00,000",Bowler,Chennai Super Kings
5,Ishwar Chandra Pandey,"1,50,00,000",Bowler,Chennai Super Kings
6,Ben Hilfenhaus,"1,00,00,000",Bowler,Chennai Super Kings
7,John Hastings,"50,00,000",All-Rounder,Chennai Super Kings
8,Samuel Badree,"30,00,000",Bowler,Chennai Super Kings
9,Matt Henry,"30,00,000",Bowler,Chennai Super Kings
10,Mithun Manhas,"30,00,000",All-Rounder,Chennai Super Kings
11,Vijay Shankar,"10,00,000",All-Rounder,Chennai Super Kings
12,Ronit More,"10,00,000",Bowler,Chennai Super Kings
13,Baba Aparajith,"10,00,000",Batsman,Chennai Super Kings
14,Pawan Negi,"10,00,000",Bowler,Chennai Super Kings
15,Dinesh Karthik,"12,50,00,000",Wicket Keeper,Delhi Daredevils
16,Kevin Pietersen,"9,00,00,000",Batsman,Delhi Daredevils
17,Murali Vijay,"5,00,00,000",Batsman,Delhi Daredevils
18,Mohammad Shami,"4,25,00,000",Bowler,Delhi Daredevils
19,Nathan Coulter-Nile,"4,25,00,000",Bowler,Delhi Daredevils
20,Quinton De Kock,"3,50,00,000",Wicket Keeper,Delhi Daredevils
21,Manoj Tiwary,"2,80,00,000",Batsman,Delhi Daredevils
22,Jaydev Unadkat,"2,80,00,000",Bowler,Delhi Daredevils
23,Jean-Paul Duminy,"2,20,00,000",Batsman,Delhi Daredevils
24,Ross Taylor,"2,00,00,000",Batsman,Delhi Daredevils
25,Kedar Jadhav,"2,00,00,000",Batsman,Delhi Daredevils
26,Rahul Sharma,"1,90,00,000",Bowler,Delhi Daredevils
27,Mayank Agarwal,"1,60,00,000",Batsman,Delhi Daredevils
28,Laxmi Ratan Shukla,"1,50,00,000",All-Rounder,Delhi Daredevils
29,James Neesham,"1,00,00,000",All-Rounder,Delhi Daredevils
30,Wayne Parnell,"1,00,00,000",Bowler,Delhi Daredevils
31,Shahbaz Nadeem,"85,00,000",Bowler,Delhi Daredevils
32,Saurabh Tiwary,"70,00,000",Batsman,Delhi Daredevils
33,Siddarth Kaul,"45,00,000",Bowler,Delhi Daredevils
34,Rahul Shukla,"40,00,000",Bowler,Delhi Daredevils
35,Jayant Yadav,"10,00,000",All-Rounder,Delhi Daredevils
36,HS Sharath,"10,00,000",Bowler,Delhi Daredevils
37,Milind Kumar,"10,00,000",Batsman,Delhi Daredevils
38,Mitchell Johnson,"6,50,00,000",All-Rounder,Kings XI Punjab
39,Glenn Maxwell,"6,00,00,000",All-Rounder,Kings XI Punjab
40,George Bailey,"3,25,00,000",Batsman,Kings XI Punjab
41,Virender Sehwag,"3,20,00,000",Batsman,Kings XI Punjab
42,Rishi Dhawan,"3,00,00,000",All-Rounder,Kings XI Punjab
43,Wriddhiman Saha,"2,20,00,000",Wicket Keeper,Kings XI Punjab
44,Shaun Marsh,"2,20,00,000",Batsman,Kings XI Punjab
45,Cheteshwar Pujara,"1,90,00,000",Batsman,Kings XI Punjab
46,Beuran Hendricks,"1,80,00,000",Bowler,Kings XI Punjab
47,Lakshmipathy Balaji,"1,80,00,000",Bowler,Kings XI Punjab
48,Thisara Perera,"1,60,00,000",All-Rounder,Kings XI Punjab
49,Gurkirat Singh Mann,"1,30,00,000",Batsman,Kings XI Punjab
50,Murali Kartik,"1,00,00,000",Bowler,Kings XI Punjab
51,Sandeep Sharma,"85,00,000",Bowler,Kings XI Punjab
52,Mandeep Hardev Singh,"80,00,000",All-Rounder,Kings XI Punjab
53,Akshar Rajesh Patel,"75,00,000",All-Rounder,Kings XI Punjab
54,Parvinder Awana,"65,00,000",Bowler,Kings XI Punjab
55,Shardul Narendra Thakur,"20,00,000",Bowler,Kings XI Punjab
56,Anureet Singh,"20,00,000",Bowler,Kings XI Punjab
57,Shivam Sharma,"10,00,000",Bowler,Kings XI Punjab
58,Karanveer Singh,"10,00,000",All-Rounder,Kings XI Punjab
59,Jacques Kallis,"5,50,00,000",All-Rounder,Kolkata Knight Riders
60,Robin Uthappa,"5,00,00,000",Batsman,Kolkata Knight Riders
61,Piyush Chawla,"4,25,00,000",Bowler,Kolkata Knight Riders
62,Yusuf Pathan,"3,25,00,000",All-Rounder,Kolkata Knight Riders
63,Shakib Al Hasan,"2,80,00,000",All-Rounder,Kolkata Knight Riders
64,Morne Morkel,"2,80,00,000",Bowler,Kolkata Knight Riders
65,Ranganath Vinay Kumar,"2,80,00,000",Bowler,Kolkata Knight Riders
66,Umesh Yadav,"2,60,00,000",Bowler,Kolkata Knight Riders
67,Manish Pandey,"1,70,00,000",Batsman,Kolkata Knight Riders
68,Chris Lynn,"1,30,00,000",Batsman,Kolkata Knight Riders
69,Patrick Cummins,"1,00,00,000",Bowler,Kolkata Knight Riders
70,Ryan Ten Doeschate,"1,00,00,000",All-Rounder,Kolkata Knight Riders
71,Suryakumar Yadav,"70,00,000",Batsman,Kolkata Knight Riders
72,Andre Russell,"60,00,000",All-Rounder,Kolkata Knight Riders
73,Manvinder Bisla,"60,00,000",Wicket Keeper,Kolkata Knight Riders
74,Veer Pratap Singh,"40,00,000",Bowler,Kolkata Knight Riders
75,Kuldeep Singh Yadav,"40,00,000",Bowler,Kolkata Knight Riders
76,Debabrata Das,"20,00,000",Wicket Keeper,Kolkata Knight Riders
77,Sayan Sekhar Mandal,"10,00,000",All-Rounder,Kolkata Knight Riders
78,Michael Hussey,"5,00,00,000",Batsman,Mumbai Indians
79,Corey Anderson,"4,50,00,000",All-Rounder,Mumbai Indians
80,Pragyan Ojha,"3,25,00,000",Bowler,Mumbai Indians
81,Zaheer Khan,"2,60,00,000",Bowler,Mumbai Indians
82,Aditya Tare,"1,60,00,000",Wicket Keeper,Mumbai Indians
83,Jasprit Bumrah,"1,20,00,000",Bowler,Mumbai Indians
84,Jalaj Saxena,"90,00,000",All-Rounder,Mumbai Indians
85,Josh Hazlewood,"50,00,000",Bowler,Mumbai Indians
86,Marchant De Lange,"30,00,000",Bowler,Mumbai Indians
87,Krismar Santokie,"30,00,000",Bowler,Mumbai Indians
88,Ben Dunk,"20,00,000",Wicket Keeper,Mumbai Indians
89,C.M. Gautam,"20,00,000",Wicket Keeper,Mumbai Indians
90,Apoorv Vijay Wankhade,"10,00,000",Batsman,Mumbai Indians
91,Pawan Suyal,"10,00,000",Bowler,Mumbai Indians
92,Sushant Marathe,"10,00,000",Wicket Keeper,Mumbai Indians
93,Shreyas Gopal,"10,00,000",Bowler,Mumbai Indians
94,Steven Smith,"4,00,00,000",All-Rounder,Rajasthan Royals
95,Brad Hodge,"2,40,00,000",Batsman,Rajasthan Royals
96,Rajat Bhatia,"1,70,00,000",All-Rounder,Rajasthan Royals
97,Tim Southee,"1,20,00,000",Bowler,Rajasthan Royals
98,Dhawal Kulkarni,"1,10,00,000",Bowler,Rajasthan Royals
99,Abhishek Nayar,"1,00,00,000",All-Rounder,Rajasthan Royals
100,Kane Richardson,"1,00,00,000",Bowler,Rajasthan Royals
101,Ben Cutting,"80,00,000",Bowler,Rajasthan Royals
102,Karun Nair,"75,00,000",Batsman,Rajasthan Royals
103,Unmukt Chand,"65,00,000",Batsman,Rajasthan Royals
104,Iqbal Abdullah,"65,00,000",All-Rounder,Rajasthan Royals
105,Deepak Hooda,"40,00,000",Bowler,Rajasthan Royals
106,Dishant Yagnik,"30,00,000",Wicket Keeper,Rajasthan Royals
107,Kevon Cooper,"30,00,000",All-Rounder,Rajasthan Royals
108,Vikramjeet Malik,"20,00,000",Bowler,Rajasthan Royals
109,Ankit Nagendra Sharma,"10,00,000",Bowler,Rajasthan Royals
110,Rahul Tewatia,"10,00,000",All-Rounder,Rajasthan Royals
111,Ankush Bains,"10,00,000",Wicket Keeper,Rajasthan Royals
112,Amit Mishra,"10,00,000",Bowler,Rajasthan Royals
113,Pravin Tambe,"10,00,000",Bowler,Rajasthan Royals
114,Yuvraj Singh,"14,00,00,000",All-Rounder, Royal Challengers Bengaluru
115,Mitchell Starc,"5,00,00,000",Bowler, Royal Challengers Bengaluru
116,Albie Morkel,"2,40,00,000",All-Rounder, Royal Challengers Bengaluru
117,Varun Aaron,"2,00,00,000",Bowler, Royal Challengers Bengaluru
118,Ashok Dinda,"1,50,00,000",Bowler, Royal Challengers Bengaluru
119,Parthiv Patel,"1,40,00,000",Wicket Keeper, Royal Challengers Bengaluru
120,Muttiah Muralitharan,"1,00,00,000",Bowler, Royal Challengers Bengaluru
121,Ravi Rampaul,"90,00,000",Bowler, Royal Challengers Bengaluru
122,Nic Maddinson,"50,00,000",Batsman, Royal Challengers Bengaluru
123,Harshal Patel,"40,00,000",Bowler, Royal Challengers Bengaluru
124,Vijay Zol,"30,00,000",Batsman, Royal Challengers Bengaluru
125,Abu Nechim Ahmed,"30,00,000",Bowler, Royal Challengers Bengaluru
126,Sachin Rana,"20,00,000",Bowler, Royal Challengers Bengaluru
127,Shadab Jakati,"20,00,000",Bowler, Royal Challengers Bengaluru
128,Sandeep Warrier,"10,00,000",Bowler, Royal Challengers Bengaluru
129,Tanmay Mishra,"10,00,000",Batsman, Royal Challengers Bengaluru
130,Yogesh Takawale,"10,00,000",Wicket Keeper, Royal Challengers Bengaluru
131,Yuzvendra Singh Chahal,"10,00,000",Bowler, Royal Challengers Bengaluru
